Auxiliary,Transitivity,Phrase,Count
h-,unknown,bālist h-,1
h-,unknown,h- tašt,1
h-,unknown,bastag h-,1
h-,unknown,nišastag h-,1
h-,unknown,āšnāg h-,1
h-,unknown,daxšag h-,1
h-,unknown,wehzīwišn h-,2
h-,transitive,wišūdan h-,1
h-,transitive,dādan h-,9
h-,transitive,kirdan h-,8
h-,transitive,frēstīdan h-,2
h-,transitive,ēraxtan1 h-,1
h-,transitive,xwāstan h-,3
h-,transitive,nē paywastan h-,1
h-,transitive,nē burzīdan h-,1
h-,transitive,ēstēnīdan h-,1
h-,transitive,gumārdan h-,3
h-,transitive,brēhēnīdan h-,5
h-,transitive,nē gumēxtan h-,1
h-,transitive,baxtan h-,2
h-,transitive,agārēnīdan h-,1
h-,transitive,kōxšīdan h-,3
h-,transitive,burdan h-,1
h-,transitive,bastan h-,2
h-,transitive,bē guftan h-,1
h-,transitive,bē nē dānistan h-,1
h-,transitive,handāxtan h-,1
h-,transitive,be winnārdan h-,1
h-,transitive,winnārdan h-,1
h-,transitive,nē kirdan h-,1
h-,transitive,guftan h-,4
h-,transitive,bōxtan h-,1
h-,transitive,tazēnīdan h-,1
h-,transitive,be pālūdan h-,2
h-,transitive,wiškīdan h-,1
h-,transitive,nē dādan h-,2
h-,transitive,bē dādan h-,1
h-,transitive,nē hištan h-,1
h-,transitive,be āhōgēnīdan h-,1
h-,transitive,nihuftan h-,1
h-,transitive,bē hištan h-,1
h-,transitive,windādan h-,1
h-,transitive,bē nē dādan h-,1
h-,transitive,gumēxtan h-,1
h-,transitive,sāxtan h-,1
h-,transitive,ōzadan h-,1
h-,transitive,hištan h-,1
h-,transitive,nē zadan h-,1
h-,transitive,zadan h-,1
h-,transitive,stadan h-,1
h-,transitive,be zādan h-,1
h-,transitive,nibištan h-,1
h-,transitive,nihādan h-,1
h-,transitive,passandīdan h-,1
h-,transitive,h- kirdan,1
h-,transitive,stūdan h-,1
h-,transitive,ayāftan h-,2
h-,transitive,rōšnēnīdan h-,1
h-,transitive,bē nimūdan h-,1
h-,transitive,rāyēnīdan h-,1
h-,transitive,hamēw menīdan h-,1
h-,transitive,dīdan h-,2
h-,transitive,šnāxtan h-,1
h-,transitive,menīdan h-,1
h-,transitive,hunīdan h-,1
h-,transitive,dāštan h-,2
h-,transitive,tāšīdan h-,2
h-,transitive,zādan h-,2
h-,transitive,šnāzīdan h-,1
h-,transitive,āwurdan h-,1
h-,transitive,frēstādan h-,1
h-,transitive,wišādan h-,1
h-,transitive,nē ayāftan h-,1
h-,transitive,bē abgandan h-,1
h-,transitive,be widārdan h-,1
h-,transitive,nē yaštan h-,1
h-,transitive,nē guhrādan h-,3
h-,transitive,xwandan h-,2
h-,transitive,nē winnārdan h-,1
būdan,unknown,stāyīdār būdan,1
būdan,unknown,ēdōn būdan,1
būdan,unknown,tuwān būdan,1
būdan,unknown,nē tuwān būdan,6
būdan,unknown,āmārīhā būdan,1
būdan,transitive,dāštan būdan,1
būdan,transitive,wirāstan būdan,1
būdan,transitive,kirdan būdan,4
būdan,transitive,ōzadan būdan,1
būdan,transitive,dādan būdan,4
būdan,transitive,brēhēnīdan būdan,1
būdan,transitive,guftan būdan,5
būdan,transitive,wisāndan būdan,1
būdan,transitive,murnǰēnīdan būdan,1
būdan,transitive,rāmēnīdan būdan,1
būdan,transitive,bištan būdan,4
būdan,transitive,šnāyēnīdan būdan,4
būdan,transitive,bē dādan būdan,1
būdan,transitive,be griftan būdan,1
būdan,transitive,abzāyišn būdan,1
būdan,transitive,paydāgēnīdan būdan,2
būdan,intransitive,madan1 būdan,1
būdan,intransitive,hamkōxšīdan būdan,1
būdan,intransitive,ǰastan būdan,1
būdan,intransitive,bē taxtan būdan,1
būdan,intransitive,šudan būdan,2
būdan,intransitive,madan būdan,1
būdan,intransitive,būdan būdan,1
